caseno,typeofclaim,InvoiceVoucherDate,debtwarningdate,mainamount,mainamountbalance,casestate,ageofclaim_months,courtclaim,postacode,debage,paidamount
108718,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,1177,31,0
113157,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,4608,39,0
113025,loan,00:00.0,NULL,398,398,AddressUnknown,16,0,1767,47,0
109190,loan,00:00.0,NULL,499,499,AddressUnknown,16,0,7088,31,0
113018,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,4042,26,0
108618,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,5225,19,0
108622,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,4614,43,0
108634,loan,00:00.0,NULL,499,499,AddressUnknown,16,0,3186,24,0
108635,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,3186,24,0
109009,loan,00:00.0,NULL,796,796,AddressUnknown,16,0,1348,999,0
109003,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,1051,999,0
109028,loan,00:00.0,NULL,796,796,AddressUnknown,16,0,6440,999,0
93916,loan,00:00.0,NULL,796,796,AddressUnknown,16,0,566,31,0
93948,loan,00:00.0,NULL,599,599,AddressUnknown,16,0,9519,22,0
93949,loan,00:00.0,NULL,499,499,AddressUnknown,16,0,9519,22,0
93780,loan,00:00.0,NULL,499,499,AddressUnknown,16,0,652,19,0
93866,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,3678,50,0
93837,loan,00:00.0,NULL,305.75,305.75,AddressUnknown,16,0,253,88,0
73443,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,3211,25,0
73614,loan,00:00.0,2/2/2020,499,499,AddressUnknown,17,0,8515,24,0
72654,loan,00:00.0,1/29/2020,199,199,AddressUnknown,17,0,9519,22,0
73841,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,3676,23,0
73957,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,5063,21,0
75852,loan,00:00.0,2/12/2020,79,79,AddressUnknown,17,0,367,22,0
75979,loan,00:00.0,2/13/2020,158,158,AddressUnknown,17,0,579,60,0
76047,loan,00:00.0,2/13/2020,623,623,AddressUnknown,17,0,8579,999,0
75734,loan,00:00.0,NULL,199,199,AddressUnknown,17,0,2670,65,0
75748,loan,00:00.0,2/12/2020,199,199,AddressUnknown,17,0,7650,54,0
92662,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,1706,21,0
94324,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,7024,999,0
94325,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,4353,22,0
94337,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,5075,999,0
94349,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,1459,999,0
94410,loan,00:00.0,NULL,299,299,AddressUnknown,16,0,2007,999,0
94503,loan,00:00.0,2/28/2020,199,199,AddressUnknown,16,0,4407,71,0
94534,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,5232,51,0
94519,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,3475,25,0
94083,loan,00:00.0,2/26/2020,79,79,AddressUnknown,16,0,0,50,0
94590,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,4250,41,0
94588,loan,00:00.0,NULL,623,623,AddressUnknown,16,0,0,20,0
92678,loan,00:00.0,2/19/2020,623,623,AddressUnknown,17,0,650,31,0
92956,loan,00:00.0,NULL,499,499,AddressUnknown,17,0,273,30,0
93175,loan,00:00.0,2/19/2020,158,158,AddressUnknown,17,0,1354,58,0
69057,loan,00:00.0,NULL,528,528,AddressUnknown,17,0,1650,34,0
69071,loan,00:00.0,2/12/2020,623,623,AddressUnknown,17,0,4480,50,0
62733,loan,00:00.0,1/1/2020,528,528,AddressUnknown,19,0,4844,19,0
63871,loan,00:00.0,1/3/2020,79,79,AddressUnknown,18,0,1706,21,0
64175,loan,00:00.0,NULL,623,623,AddressUnknown,19,0,174,999,0
64178,loan,00:00.0,1/19/2020,623,623,AddressUnknown,19,0,5357,999,0
64185,loan,00:00.0,NULL,623,623,AddressUnknown,19,0,585,999,0
66913,loan,00:00.0,1/19/2020,79,0,AddressUnknown,18,0,474,27,-149
62671,loan,00:00.0,1/1/2020,428,428,AddressUnknown,19,0,2052,29,0
